run_id,datetime,model,params_M,precision,power_mode,jetson_clocks,start_temp_C,max_temp_C,throttled,median_L_ms,p95_L_ms,p99_L_ms,throughput_fps,mean_power_W,peak_power_W,energy_mJ,peak_ram_MB,gpu_util_pct,engine_build_s,trtexec_log,tegrastats_log,notes
resnet18_fp32_maxn_run1,2026-07-26T15:54:08-06:00,resnet18,,fp32,maxn,yes,51.3,56.281,no,1.54883,1.55566,1.55884,644.188,10.08,17.93,15.61,4076,98,16.2483,resnet18_fp32_maxn_run1.trtexec.log,resnet18_fp32_maxn_run1.tegrastats.log,
resnet18_fp32_maxn_run2,2026-07-26T15:55:32-06:00,resnet18,,fp32,maxn,yes,52.2,56.812,no,1.55322,1.5603,1.56299,642.336,10.15,17.85,15.77,4078,98,16.4347,resnet18_fp32_maxn_run2.trtexec.log,resnet18_fp32_maxn_run2.tegrastats.log,
resnet18_fp32_maxn_run3,2026-07-26T15:56:57-06:00,resnet18,,fp32,maxn,yes,52.5,56.937,no,1.54639,1.55444,1.55859,645.133,10.13,17.93,15.66,4093,98,16.3695,resnet18_fp32_maxn_run3.trtexec.log,resnet18_fp32_maxn_run3.tegrastats.log,
resnet18_fp16_maxn_run1,2026-07-26T15:58:32-06:00,resnet18,,fp16,maxn,yes,52.6,56.968,no,0.75415,0.756592,0.757568,1320.53,9.33,16.99,7.04,4061,97,26.3471,resnet18_fp16_maxn_run1.trtexec.log,resnet18_fp16_maxn_run1.tegrastats.log,
resnet18_fp16_maxn_run2,2026-07-26T16:00:06-06:00,resnet18,,fp16,maxn,yes,52.8,56.906,no,0.754639,0.757324,0.758301,1319.93,9.36,16.98,7.06,4063,97,26.3026,resnet18_fp16_maxn_run2.trtexec.log,resnet18_fp16_maxn_run2.tegrastats.log,
resnet18_fp16_maxn_run3,2026-07-26T16:01:40-06:00,resnet18,,fp16,maxn,yes,52.8,57.093,no,0.757568,0.759766,0.760742,1314.67,9.38,16.98,7.11,4070,97,26.0122,resnet18_fp16_maxn_run3.trtexec.log,resnet18_fp16_maxn_run3.tegrastats.log,
resnet18_int8_maxn_run1,2026-07-26T16:03:21-06:00,resnet18,,int8,maxn,yes,52.8,55.812,no,0.463379,0.465332,0.466309,2145.68,8.58,14.19,3.98,4227,96,32.0285,resnet18_int8_maxn_run1.trtexec.log,resnet18_int8_maxn_run1.tegrastats.log,
resnet18_int8_maxn_run2,2026-07-26T16:05:01-06:00,resnet18,,int8,maxn,yes,52.3,55.968,no,0.45752,0.459717,0.460938,2172.04,8.58,14.35,3.93,4232,96,31.9687,resnet18_int8_maxn_run2.trtexec.log,resnet18_int8_maxn_run2.tegrastats.log,
resnet18_int8_maxn_run3,2026-07-26T16:06:41-06:00,resnet18,,int8,maxn,yes,52.6,55.937,no,0.453125,0.455322,0.456543,2193.3,8.58,14.31,3.89,4233,96,32.1189,resnet18_int8_maxn_run3.trtexec.log,resnet18_int8_maxn_run3.tegrastats.log,
resnet50_fp32_maxn_run1,2026-07-26T16:08:30-06:00,resnet50,,fp32,maxn,yes,52.7,58.031,no,3.66016,3.67261,3.67676,272.703,9.95,18.57,36.42,4308,98,40.0884,resnet50_fp32_maxn_run1.trtexec.log,resnet50_fp32_maxn_run1.tegrastats.log,
resnet50_fp32_maxn_run2,2026-07-26T16:10:19-06:00,resnet50,,fp32,maxn,yes,53.1,58.406,no,3.63818,3.64966,3.65552,274.355,9.97,18.68,36.27,4293,98,40.0326,resnet50_fp32_maxn_run2.trtexec.log,resnet50_fp32_maxn_run2.tegrastats.log,
resnet50_fp32_maxn_run3,2026-07-26T16:12:08-06:00,resnet50,,fp32,maxn,yes,53.3,58.312,no,3.74677,3.75684,3.76147,266.433,9.94,18.29,37.24,4269,99,40.1066,resnet50_fp32_maxn_run3.trtexec.log,resnet50_fp32_maxn_run3.tegrastats.log,
resnet50_fp16_maxn_run1,2026-07-26T16:14:28-06:00,resnet50,,fp16,maxn,yes,53.4,57.906,no,1.87012,1.87524,1.87744,533.615,9.05,17.18,16.92,4683,98,71.3977,resnet50_fp16_maxn_run1.trtexec.log,resnet50_fp16_maxn_run1.tegrastats.log,
resnet50_fp16_maxn_run2,2026-07-26T16:16:43-06:00,resnet50,,fp16,maxn,yes,53.2,57.875,no,1.8728,1.87659,1.87842,532.828,9.21,17.09,17.25,4814,98,66.5554,resnet50_fp16_maxn_run2.trtexec.log,resnet50_fp16_maxn_run2.tegrastats.log,
resnet50_fp16_maxn_run3,2026-07-26T16:19:01-06:00,resnet50,,fp16,maxn,yes,53.3,57.75,no,1.86963,1.87402,1.87622,533.748,9.08,17.11,16.98,4682,98,69.9813,resnet50_fp16_maxn_run3.trtexec.log,resnet50_fp16_maxn_run3.tegrastats.log,
resnet50_int8_maxn_run1,2026-07-26T16:21:21-06:00,resnet50,,int8,maxn,yes,53.1,57.125,no,1.16211,1.16553,1.16675,858.097,8.93,14.31,10.38,4324,99,71.5987,resnet50_int8_maxn_run1.trtexec.log,resnet50_int8_maxn_run1.tegrastats.log,
resnet50_int8_maxn_run2,2026-07-26T16:23:44-06:00,resnet50,,int8,maxn,yes,52.9,56.968,no,1.16553,1.16895,1.17017,855.567,8.79,14.23,10.25,4336,99,75.5839,resnet50_int8_maxn_run2.trtexec.log,resnet50_int8_maxn_run2.tegrastats.log,
resnet50_int8_maxn_run3,2026-07-26T16:26:08-06:00,resnet50,,int8,maxn,yes,53.1,57.031,no,1.17651,1.17969,1.18115,847.775,8.79,14.11,10.34,4336,97,75.6309,resnet50_int8_maxn_run3.trtexec.log,resnet50_int8_maxn_run3.tegrastats.log,
vgg16_fp32_maxn_run1,2026-07-26T16:28:11-06:00,vgg16,,fp32,maxn,yes,53.1,61.281,no,11.46,11.4771,11.4863,87.1505,12.13,20.18,139.01,4944,99,39.2664,vgg16_fp32_maxn_run1.trtexec.log,vgg16_fp32_maxn_run1.tegrastats.log,
vgg16_fp32_maxn_run2,2026-07-26T16:30:08-06:00,vgg16,,fp32,maxn,yes,54.6,61.875,no,11.4629,11.4814,11.4883,87.1309,12.72,20.18,145.81,4836,99,37.7902,vgg16_fp32_maxn_run2.trtexec.log,vgg16_fp32_maxn_run2.tegrastats.log,
vgg16_fp32_maxn_run3,2026-07-26T16:32:05-06:00,vgg16,,fp32,maxn,yes,54.8,62.125,no,11.451,11.4675,11.4761,87.2199,12.83,20.22,146.92,4940,99,38.1686,vgg16_fp32_maxn_run3.trtexec.log,vgg16_fp32_maxn_run3.tegrastats.log,
vgg16_fp16_maxn_run1,2026-07-26T16:34:27-06:00,vgg16,,fp16,maxn,yes,55.0,60.281,no,5.86914,5.88184,5.88818,170.123,10.73,19.39,62.98,5585,99,70.2443,vgg16_fp16_maxn_run1.trtexec.log,vgg16_fp16_maxn_run1.tegrastats.log,
