run_id,datetime,model,params_M,precision,power_mode,jetson_clocks,start_temp_C,max_temp_C,throttled,median_L_ms,p95_L_ms,p99_L_ms,throughput_fps,mean_power_W,peak_power_W,energy_mJ,peak_ram_MB,gpu_util_pct,engine_build_s,trtexec_log,tegrastats_log,notes
yolov8s_fp16_maxn_run1,2026-07-31T10:39:23-06:00,yolov8s,,fp16,maxn,yes,50.0,61.593,no,6.26733,6.27734,6.28125,159.327,8.67,18.13,54.34,4226,99,399.397,yolov8s_fp16_maxn_run1.trtexec.log,yolov8s_fp16_maxn_run1.tegrastats.log,
yolov8n_fp16_maxn_run1,2026-07-31T10:50:03-06:00,yolov8n,,fp16,maxn,yes,52.3,60.093,no,3.94922,3.95557,3.95776,252.806,8.08,15.91,31.91,4253,99,371.004,yolov8n_fp16_maxn_run1.trtexec.log,yolov8n_fp16_maxn_run1.tegrastats.log,
yolov8s_fp16_15w_run1,2026-07-31T11:24:18-06:00,yolov8s,,fp16,15w,yes,50.7,58,no,9.61426,9.62793,9.63428,103.866,7.18,12.34,69.03,5775,99,448.126,yolov8s_fp16_15w_run1.trtexec.log,yolov8s_fp16_15w_run1.tegrastats.log,
yolov8s_fp16_15w_run2,2026-07-31T11:33:18-06:00,yolov8s,,fp16,15w,yes,53.9,58.062,no,9.58105,9.59375,9.59961,104.231,7.31,12.32,70.04,5754,99,463.832,yolov8s_fp16_15w_run2.trtexec.log,yolov8s_fp16_15w_run2.tegrastats.log,
yolov8s_fp16_15w_run3,2026-07-31T11:42:20-06:00,yolov8s,,fp16,15w,yes,54.0,57.531,no,9.58032,9.5957,9.60059,104.237,7.29,12.40,69.84,5810,99,466.937,yolov8s_fp16_15w_run3.trtexec.log,yolov8s_fp16_15w_run3.tegrastats.log,
yolov8s_fp16_7w_run1,2026-07-31T12:00:07-06:00,yolov8s,,fp16,7w,yes,49.3,51.531,no,21.8789,21.8955,21.9043,45.6472,4.75,7.10,103.92,3942,100,783.823,yolov8s_fp16_7w_run1.trtexec.log,yolov8s_fp16_7w_run1.tegrastats.log,
yolov8s_fp16_7w_run2,2026-07-31T12:15:13-06:00,yolov8s,,fp16,7w,yes,49.7,51.593,no,21.8809,21.8994,21.9053,45.643,4.71,7.10,103.06,3992,99,816.465,yolov8s_fp16_7w_run2.trtexec.log,yolov8s_fp16_7w_run2.tegrastats.log,
yolov8s_fp16_7w_run3,2026-07-31T12:30:20-06:00,yolov8s,,fp16,7w,yes,49.7,51.656,no,21.8607,21.8779,21.8867,45.6871,4.71,7.06,102.96,3988,99,817.551,yolov8s_fp16_7w_run3.trtexec.log,yolov8s_fp16_7w_run3.tegrastats.log,
yolov8n_fp16_7w_run1,2026-07-31T14:50:52-06:00,yolov8n,,fp16,7w,yes,48.1,51.468,no,12.8193,12.832,12.8379,77.8946,4.55,6.43,58.33,4204,99,684.873,yolov8n_fp16_7w_run1.trtexec.log,yolov8n_fp16_7w_run1.tegrastats.log,
yolov8n_fp16_7w_run2,2026-07-31T15:03:37-06:00,yolov8n,,fp16,7w,yes,49.8,51.187,no,12.7935,12.812,12.8184,78.0554,4.53,6.47,57.95,4100,99,684.958,yolov8n_fp16_7w_run2.trtexec.log,yolov8n_fp16_7w_run2.tegrastats.log,
yolov8n_fp16_7w_run3,2026-07-31T15:16:22-06:00,yolov8n,,fp16,7w,yes,49.6,51.312,no,12.8623,12.875,12.8809,77.6374,4.53,6.47,58.27,4108,99,684.145,yolov8n_fp16_7w_run3.trtexec.log,yolov8n_fp16_7w_run3.tegrastats.log,
